"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Aug 21 15:40:18 GMT 2021","Sat Aug 21 15:40:40 GMT 2021","21660","","TestPage","","TestPage","testMenuPagingByDropdown","M-5.1 - Étlap bejárása1",""
"passed","Sat Aug 21 15:39:57 GMT 2021","Sat Aug 21 15:40:01 GMT 2021","3952","","TestPage","","TestPage","testLogout","M-11 - Kijelentkezés",""
"passed","Sat Aug 21 15:41:46 GMT 2021","Sat Aug 21 15:42:00 GMT 2021","13922","","TestPage","","TestPage","testOrderFromFile","M-7 - Fájlban összeírt rendelés feladása",""
"passed","Sat Aug 21 15:39:49 GMT 2021","Sat Aug 21 15:39:53 GMT 2021","4181","","TestPage","","TestPage","testRegistration","M-1 - Regisztráció",""
"passed","Sat Aug 21 15:41:03 GMT 2021","Sat Aug 21 15:41:09 GMT 2021","6243","","TestPage","","TestPage","testOrderDessert","M-6 - Rendelés",""
"failed","Sat Aug 21 15:40:40 GMT 2021","Sat Aug 21 15:41:03 GMT 2021","23453","","TestPage","","TestPage","testMenuPagingByButtons","M-5.2 - Étlap bejárása2",""
"passed","Sat Aug 21 15:41:23 GMT 2021","Sat Aug 21 15:41:35 GMT 2021","11341","","TestPage","","TestPage","testOrderDessertThenModify","M-9 - Rendelés módosítása",""
"passed","Sat Aug 21 15:39:53 GMT 2021","Sat Aug 21 15:39:57 GMT 2021","3817","","TestPage","","TestPage","testLogin","M-2 - Bejelentkezés",""
"passed","Sat Aug 21 15:41:35 GMT 2021","Sat Aug 21 15:41:46 GMT 2021","11116","","TestPage","","TestPage","testOrderAndWrite","M-8 Rendelési adat mentése fájlba",""
"passed","Sat Aug 21 15:40:04 GMT 2021","Sat Aug 21 15:40:18 GMT 2021","13705","","TestPage","","TestPage","testDataProtectionList","M-4 - Listázás",""
"passed","Sat Aug 21 15:40:01 GMT 2021","Sat Aug 21 15:40:04 GMT 2021","3626","","TestPage","","TestPage","testDataProtectionTitle","M-3 - Adatkezelési Nyilatkozat",""
"passed","Sat Aug 21 15:41:09 GMT 2021","Sat Aug 21 15:41:23 GMT 2021","13898","","TestPage","","TestPage","testOrderDessertThenDelete","M-10 - Rendelés törlése",""
